Month;Floor Space of Real Estate Started This Year, Accumulated(10000 sq.m);Floor Space of Real Estate Completed, Accumulated(10000 sq.m)
January 2012;;
February 2012;154.09;90.35
March 2012;491.21;176.67
April 2012;699.38;280.22
May 2012;1,048.32;437.90
June 2012;1,461.00;568.75
July 2012;1,724.38;690.08
August 2012;1,963.98;797.51
September 2012;2,210.16;971.62
October 2012;2,516.50;1,255.87
November 2012;2,897.28;1,518.75
December 2012;3,224.21;2,390.86
January 2013;;
February 2013;286.06;111.60
March 2013;498.70;183.17
April 2013;722.68;297.50
May 2013;1,058.89;378.94
June 2013;1,390.29;553.61
July 2013;1,708.84;680.01
August 2013;1,969.47;850.66
September 2013;2,265.90;1,148.03
October 2013;2,572.26;1,420.99
November 2013;3,076.36;1,691.39
December 2013;3,577.52;2,666.35
January 2014;;
February 2014;182.41;264.13
March 2014;525.48;362.13
April 2014;638.26;420.57
May 2014;788.39;581.28
June 2014;1,053.96;670.87
July 2014;1,336.22;783.50
August 2014;1,442.45;872.37
September 2014;1,627.43;1,036.48
October 2014;1,945.77;1,251.72
November 2014;2,065.48;1,646.87
December 2014;2,449.39;3,054.12
January 2015;;
February 2015;194.23;189.77
March 2015;478.23;404.98
April 2015;657.23;462.58
May 2015;849.81;630.36
June 2015;1,105.73;727.21
July 2015;1,429.20;771.86
August 2015;1,499.08;872.80
September 2015;1,739.32;1,062.04
October 2015;1,945.82;1,427.77
November 2015;2,220.68;1,719.59
December 2015;2,706.91;2,631.45
January 2016;;
February 2016;278.42;198.49
March 2016;515.24;421.41
April 2016;824.50;509.66
May 2016;1,115.05;644.22
June 2016;1,306.48;846.85
July 2016;1,436.64;926.54
August 2016;1,676.52;942.25
September 2016;2,025.62;1,150.69
October 2016;2,359.38;1,295.28
November 2016;2,588.90;1,426.29
December 2016;2,795.57;2,369.95
January 2017;;
February 2017;167.90;150.18
March 2017;310.38;270.19
April 2017;573.47;319.46
May 2017;628.57;406.29
June 2017;938.59;487.26
July 2017;1,086.72;568.30
August 2017;1,225.88;599.67
September 2017;1,336.39;626.70
October 2017;1,547.35;749.79
November 2017;2,035.05;829.24
December 2017;2,361.51;1,466.67
January 2018;;
February 2018;81.02;127.26
March 2018;154.78;186.28
April 2018;261.76;296.73
Data Sourcesï¼šNational Bureau of Statistics;;